id,tuyen_bo,trang_thai,bo_kiem,do_manh_bo_kiem,bang_chung
C1,"Cách đọc cây quyết định topology, không phải cây",đứng,phản ví dụ đóng,mạnh,atsw_construction_note.md
C2,Cây cho trước: ghép quantile rẻ hơn LP/Sinkhorn 3–4 bậc,đứng,"so găng code gốc + khớp giá trị 5,6e-17",mạnh,paper_table1_headtohead.csv
C3,"Chi phí output-sensitive; số mũ khớp riêng từng độ sâu: n^1,24 (T=10) đến n^1,34 (T=50) — không phải một hằng số",đứng (số đo),đếm mảnh trực tiếp; KHÔNG có chặn,một phần,paper_table8_scaling.csv
C4,"k-Markov sửa được giới hạn thống kê (+42%→+1,7%)",đứng,chân lý giải tích + DP chính xác,mạnh,paper_table5_kmarkov.csv
C5,k là knob hai chiều (nhỏ→chệch xuống; đầy đủ→lên),đứng về dấu,DP chính xác trên cây không Markov,mạnh,paper_table5_kmarkov.csv
C6,Không bài nào công bố ở cả T lớn và n lớn,đứng,bao đóng trích dẫn + full text 11 bài,một phần,sota_speed_note.md
C7,Metric adapted tính được ở n≥10⁵,HẸP: chỉ là mốc chi phí,so với FVI + chân lý giải tích,mạnh,paper_table4_regime.csv
C8,Không còn yếu tố nào đủ giết,RÚT,phát hiện yếu tố thống kê thứ 5,—,paper_readiness.md §8
C9,Nhanh hơn EP ×1 700,RÚT,"runtime công bố của EP: 14,38 s @ n=10⁴",—,sota_speed_note.md
C10,ATSW là phương pháp duy nhất còn sống ở n≥10⁴,RÚT,phát biểu quá rộng,—,cycle23_verdict.md
C11,Không hội nghị ML nào trong nhóm adapted,RÚT,có 5/133 bài,—,paper_readiness.md §venue
C12,Chỉ 4 bài cạnh tranh được về tốc độ,RÚT,11 − 6 = 5,—,review_audit.md
C13,Quét đủ 14 bài cite TemporalOT,RÚT,"13 bài duy nhất, một bài đếm trùng",—,cycle1_report.md
C14,Nhất quán của ước lượng k-Markov ĐỐI VỚI SURROGATE: Vdp(K̂)→Vdp(K) h.c.c. (không phải →AW),ĐÃ MÁY KIỂM (đích = surrogate),"Lean 4.33 + mathlib, Atsw.lean, 35 kết quả, 0 sorry, 3 tiên đề chuẩn",mạnh nhất,"Atsw.lean (35 kết quả, 0 sorry)"
C15,Mệnh đề (b): giới hạn phi Gauss tại tie,đứng,"mô phỏng 2 ca, khớp hằng số",mạnh,volume_oracle_fig.png
C16,"Prop (1) không phủ code (ô theo phân vị) → đã đổi estimator sang lưới cố định, định lý phủ được",ĐÃ ĐÓNG — đổi sang lưới cố định,đối chiếu giả thiết ↔ code,mạnh,paper_table6_fixedgrid.csv
C17,"Lưới cố định là đánh đổi: tệ hơn ở 3/5 cấu hình (nặng nhất k=1: −4,17% vs −2,73%), tương đương ở điểm vận hành k tối ưu","đứng (đánh đổi, không phải cải tiến)","chân lý giải tích + DP chính xác, 5 cấu hình",mạnh,paper_table6_fixedgrid.csv
C18,Giới hạn còn lại: cặp chuyển tiếp mô hình hóa là i.i.d. (chưa xử phụ thuộc trong cùng đường đi); thuần nhất theo thời gian; hằng số Cst ~ (n·m)^s chỉ cho liên tục không cho tốc độ,"đã ghi nhận, không phải lỗ hổng chứng minh",đọc phát biểu định lý,—,LEAN_README.md
C19,"Lean buộc phát biểu ba giả thiết mà chứng minh viết tay hay bỏ: khả đạt, hàng mặc định khi mẫu số 0, biên = tổng khớp",đứng,chính chứng minh máy kiểm,mạnh nhất,Atsw.lean phần 6
C20,ATSW làm metric đánh giá generative time series TỐT HƠN Wasserstein tĩnh,RÚT — tiêu chí bác bỏ đã xảy ra,"12 generator x 5 seed, hối tiếc trên bài dừng tối ưu; thiết kế thứ hai tách biên khỏi cấu trúc tin",mạnh,"paper.tex §7; handoff/app_metric.json, app_designB.json"
C21,"Cơ chế: làm mịn lưới nâng sàn nhiễu ATSW nhanh hơn nâng tín hiệu (sàn ×2,4 khi δ 0,5→0,031; vượt sàn +0,148→+0,055), W tĩnh không có phạt này",đứng,"đo trực tiếp sàn hai mẫu cùng luật, 3 seed",mạnh,handoff/app_floor.json
C22,Chệch surrogate→AW (do ghép comonotone thay LP) chưa có chặn lý thuyết nào,"đứng (đã đo, chưa chặn)",đo trực tiếp so DP chính xác: 10–20% trên cây cho trước,mạnh (đo) / không có (chặn),paper_table1_headtohead.csv
C23,"Thu hồi mô hình hành vi: ATSW 1,00 vs OT tĩnh 0,40; thu hồi α 1,00 vs 0,00",đứng,"5 mô hình x 10 lần lặp, biên hiệu chỉnh khớp; quét n; biến thể 4 arm",mạnh,"handoff/behav.json, behav2.json"
C24,"n-gram đạt độ chính xác tương đương ATSW trên hành vi rời rạc, rẻ hơn",đứng (giới hạn của C23),"cùng thí nghiệm: 3-gram 1,00; n=100 3-gram 0,88 > ATSW 0,82",mạnh,handoff/behav2.json
C27,"Chi phí hiệu dụng thoả Monge ở MỌI nút ⟹ ghép comonotone tối ưu, gap = 0","đứng — nhưng là kết quả cổ điển (Monge ⟹ quy tắc góc tây-bắc tối ưu), không phải phần mới",kiểm số 55 instance cây Markov tự sinh: 6/6 instance Monge-sạch có |gap| ≤ 3e-14%; hình thức hóa Lean được (hữu hạn),mạnh,monge_gap.csv; monge_gap_fig.png
